sector,emp_2019,emp_2025,change
Health care & social assistance,42667,48826,6159
Transportation & warehousing,6085,11144,5059
Government (all levels),35860,37320,1460
Admin & support services,11531,12990,1459
Professional & technical services,10534,11774,1240
Arts & recreation,2962,3844,882
Construction,12751,13535,784
Private education,4052,4757,705
Other services,6195,6776,581
Wholesale trade,10303,10482,179
Utilities,327,391,64
Real estate,3790,3839,49
Mining,234,274,40
Hotels & restaurants,20008,19809,-199
Farming & forestry,1772,1542,-230
Manufacturing,16338,15988,-350
Information,3095,2613,-482
Retail trade,26832,26232,-600
Company management,3348,2655,-693
Finance & insurance,9817,8915,-902
